date,price_per_vori_22k,price_per_gram_22k
2025-10-21,124328.9,10659.199245541839
2025-10-20,131416.3,11266.829561042523
2025-10-19,128365.8,11005.298353909466
2025-10-18,128365.7,11005.289780521261
2025-10-17,128365.8,11005.298353909466
2025-10-16,130653.7,11201.44890260631
2025-10-15,126839.8,10874.468449931413
2025-10-14,126236.8,10822.770919067216
2025-10-13,125090.6,10724.502743484225
2025-10-12,122388.0,10492.798353909466
2025-10-11,122394.2,10493.329903978052
2025-10-10,122393.7,10493.287037037036
2025-10-09,121272.0,10397.119341563786
2025-10-08,123039.8,10548.679698216736
2025-10-07,121352.4,10404.012345679012
2025-10-06,120615.9,10340.869341563786
2025-10-05,118261.3,10139.00034293553
2025-10-04,118340.4,10145.781893004116
2025-10-03,118340.8,10145.816186556927
2025-10-02,117450.9,10069.52160493827
2025-10-01,117662.0,10087.620027434843
2025-09-30,117589.8,10081.430041152264
2025-09-29,116650.8,10000.925925925927
2025-09-28,114446.1,9811.908436213993
2025-09-27,114457.1,9812.851508916325
2025-09-26,114457.5,9812.885802469136
2025-09-25,114124.0,9784.293552812072
2025-09-24,113797.0,9756.258573388202
2025-09-23,114677.7,9831.764403292182
2025-09-22,113454.8,9726.920438957477
2025-09-21,111389.2,9549.828532235939
2025-09-20,111353.9,9546.802126200275
2025-09-19,111354.3,9546.836419753086
2025-09-18,110240.2,9451.320301783264
2025-09-17,110390.6,9464.214677640604
2025-09-16,111295.4,9541.786694101509
2025-09-15,111275.6,9540.089163237311
2025-09-14,110361.5,9461.719821673525
2025-09-13,110359.7,9461.56550068587
2025-09-12,110360.9,9461.668381344307
2025-09-11,110093.2,9438.71742112483
2025-09-10,110024.9,9432.861796982166
2025-09-09,109818.2,9415.14060356653
2025-09-08,109792.0,9412.894375857339
2025-09-07,108658.6,9315.723593964336
2025-09-06,108658.6,9315.723593964336
2025-09-05,108674.1,9317.052469135802
2025-09-04,107338.9,9202.580589849109
2025-09-03,107593.6,9224.417009602195
2025-09-02,106712.8,9148.902606310014
2025-09-01,105005.8,9002.5548696845
2025-08-31,104388.9,8949.665637860082
2025-08-30,104391.9,8949.922839506173
2025-08-29,104384.3,8949.271262002743
